contributor,total,to_dems,to_repubs,to_liberal_groups,to_conservative_groups,to_nonpartisan_groups,lean,industry
Eye Surgery Assoc (Florida),259800,19800,0,240000,0,0,Leans Liberal,Doctors & Other Health Professionals
Granite Telecommunications,1844424,1250275,470949,0,100000,0,Leans Democrat,Telecom Services & Equipment
Comcast Corp,1674890,848098,751965,13050,25125,0,Leans Democrat,Telecom Services & Equipment
Charter Communications,1083173,519587,548523,26816,0,0,Leans Republican,Telecom Services & Equipment
Twilio Inc,943331,365545,2470,575000,0,0,Leans Liberal,Telecom Services & Equipment
Cox Enterprises,934782,320102,534721,0,50000,0,Leans Republican,Telecom Services & Equipment
Deutsche Telekom,850770,499606,341972,11497,0,0,Leans Democrat,Telecom Services & Equipment
NCTA The Internet & Television Assn,520620,239300,273820,0,0,0,Leans Republican,Telecom Services & Equipment
CTIA,192577,83695,104255,0,0,0,Leans Republican,Telecom Services & Equipment
Idt Telecom,161818,18,11800,0,0,150000,On the fence,Telecom Services & Equipment
Quality One Wireless,114560,0,114560,0,0,0,Leans Republican,Telecom Services & Equipment
MetTel Inc,105350,66,5284,0,0,100000,On the fence,Telecom Services & Equipment
Loral Space & Communications,101000,1000,0,100000,0,0,Leans Liberal,Telecom Services & Equipment
Interop Technologies,100200,0,100200,0,0,0,Leans Republican,Telecom Services & Equipment
Ericsson Inc,99204,56915,41822,174,0,0,Leans Democrat,Telecom Services & Equipment
Tectus Corp,80025,80025,0,0,0,0,Leans Democrat,Telecom Services & Equipment
Bbg Communications,79040,0,79040,0,0,0,Leans Republican,Telecom Services & Equipment
InterDigital Inc,74668,47683,25890,0,250,0,Leans Democrat,Telecom Services & Equipment
T-Mobile USA,74554,69375,4612,220,0,25,Leans Democrat,Telecom Services & Equipment
Garmin International,72609,27946,42067,0,0,0,Leans Republican,Telecom Services & Equipment
Bluewater Wireless,67396,67396,0,0,0,0,Leans Democrat,Telecom Services & Equipment
National Assn of Realtors,3713725,1009767,1645950,16350,10000,1051793,Leans Republican,Real Estate
Hillwood Development,3563125,2682,763943,0,2695000,100000,Leans Conservative,Real Estate
Hamilton Point Investments,2850700,0,2065700,0,785000,0,Leans Republican,Real Estate
Ryan Companies,2512195,3590,6605,0,2500000,0,Leans Conservative,Real Estate
Marcus & Millichap,2104736,825829,15533,1260050,0,0,Leans Liberal,Real Estate
GH Palmer Assoc,1991200,0,-8800,0,2000000,0,Leans Conservative,Real Estate
JMB Realty,1625225,499225,0,1051000,0,75000,Leans Liberal,Real Estate
Western National Property Management,1355788,0,732088,0,633700,0,Leans Republican,Real Estate
Affordable Housing Management Group,1349150,82550,16600,1250000,0,0,Leans Liberal,Real Estate
Fisher Creek West LLC,1316085,3300,1312785,0,0,0,Leans Republican,Real Estate
Jordan Real Estate Investments,1200589,750589,0,482400,0,0,Leans Democrat,Real Estate
Johnson Development Assoc,1162399,-5350,67749,0,1100000,0,Leans Conservative,Real Estate
Rock Holdings,1129425,516575,606210,0,0,0,Leans Republican,Real Estate
Arnel & Affiliates,1098775,0,712075,0,386700,0,Leans Republican,Real Estate
Worthe Real Estate Group,1078100,78100,0,1064800,0,0,Leans Liberal,Real Estate
Investments Ltd,1051768,0,1001768,0,90000,0,Leans Republican,Real Estate
Fontainebleau Development,1039870,1670,38200,0,1000000,0,Leans Conservative,Real Estate
Westminster Management,1000000,0,0,0,1000000,0,Leans Conservative,Real Estate
National Multifamily Housing Council,986130,486625,499505,0,0,0,Leans Republican,Real Estate
Palmer Ranch Holdings,911600,0,171600,0,740000,0,Leans Conservative,Real Estate
Votevets.org,205128,205128,0,0,0,0,Leans Democrat,Foreign & Defense Policy
Council on Foreign Relations,62348,61591,757,0,0,0,Leans Democrat,Foreign & Defense Policy
Pak-American Coalition,28800,28800,0,0,0,0,Leans Democrat,Foreign & Defense Policy
John Bolton PAC,20000,0,20000,0,0,0,Leans Republican,Foreign & Defense Policy
150PAC.org,16000,9000,7000,0,0,0,Leans Democrat,Foreign & Defense Policy
Nuclear Threat Initiative,13586,13586,0,0,0,0,Leans Democrat,Foreign & Defense Policy
US-Cuba Democracy PAC,12500,10000,2500,0,0,0,Leans Democrat,Foreign & Defense Policy
Council for a Livable World,9285,9285,0,0,0,0,Leans Democrat,Foreign & Defense Policy
American Ethiopian Public Affairs Cmte,8800,8800,0,0,0,0,Leans Democrat,Foreign & Defense Policy
Peace Action,6175,6175,0,0,0,0,Leans Democrat,Foreign & Defense Policy
Californians for Freedom,5036,3534,1502,0,0,0,Leans Democrat,Foreign & Defense Policy
American Crystal Sugar,1654493,972310,677183,0,0,0,Leans Democrat,Crop Production & Basic Processing
Grimmway Enterprises,649400,0,649400,0,0,0,Leans Republican,Crop Production & Basic Processing
US Sugar,538777,6065,32712,0,500000,0,Leans Conservative,Crop Production & Basic Processing
National Cotton Council,393141,86750,306391,0,0,0,Leans Republican,Crop Production & Basic Processing
Amalgamated Sugar,381133,172633,206000,0,0,0,Leans Republican,Crop Production & Basic Processing
American Sugar Cane League,375104,184000,189104,0,0,0,Leans Republican,Crop Production & Basic Processing
RD Offut Co,343194,66500,19194,7500,250000,0,Leans Conservative,Crop Production & Basic Processing
Florida Crystals,314486,116061,176825,0,0,0,Leans Republican,Crop Production & Basic Processing
Michigan Sugar,298042,173010,122500,0,0,0,Leans Democrat,Crop Production & Basic Processing
USA Rice Federation,253875,47075,205800,0,0,0,Leans Republican,Crop Production & Basic Processing
Minn-Dak Farmers Co-op,240250,109000,130250,0,0,0,Leans Republican,Crop Production & Basic Processing
National Corn Growers Assn,229625,73025,156600,0,0,0,Leans Republican,Crop Production & Basic Processing
Southern Minn Beet Sugar Co-Op,223000,85500,137500,0,0,0,Leans Republican,Crop Production & Basic Processing
Florida Sugar Cane League,216050,105000,109050,0,0,0,Leans Republican,Crop Production & Basic Processing
American Soybean Assn,199425,63075,136350,0,0,0,Leans Republican,Crop Production & Basic Processing
Meadows Bee Farm,156510,27300,1000,0,0,115000,On the fence,Crop Production & Basic Processing
Olivia Rae Farms,153300,0,3300,0,150000,0,Leans Conservative,Crop Production & Basic Processing
Western Sugar Cooperative,148592,86500,61092,0,0,0,Leans Democrat,Crop Production & Basic Processing
US Peanut PAC,145000,24000,121000,0,0,0,Leans Republican,Crop Production & Basic Processing
Plains Cotton Growers,138500,27000,111500,0,0,0,Leans Republican,Crop Production & Basic Processing
Duchossois Group,5594379,57051,1530728,0,4005000,0,Leans Conservative,"Communications,Electronics"
Netflix Inc,4899471,581310,2143,4319160,0,0,Leans Liberal,"Communications,Electronics"
Sandhills Global,3619801,575,619226,0,3000000,0,Leans Conservative,"Communications,Electronics"
Microsoft Corp,3436853,1982358,539683,396413,500000,1350,Leans Democrat,"Communications,Electronics"
Newsweb Corp,3343400,1243400,0,2209500,0,0,Leans Liberal,"Communications,Electronics"
Google Inc,3050431,2209690,707974,65221,200,900,Leans Democrat,"Communications,Electronics"
Fox Corp,2339999,207270,132260,17400,2000000,0,Leans Conservative,"Communications,Electronics"
AT&T Inc,2196633,1193830,923830,54690,1810,400,Leans Democrat,"Communications,Electronics"
Comcast Corp,1848887,971335,752340,29250,75125,0,Leans Democrat,"Communications,Electronics"
Granite Telecommunications,1844424,1250275,470949,0,100000,0,Leans Democrat,"Communications,Electronics"
InterSystems Corp,1729580,478311,37,1250602,0,0,Leans Liberal,"Communications,Electronics"
Amazon.com,1691359,1138666,465736,89579,2755,780,Leans Democrat,"Communications,Electronics"
Saban Capital Group,1565504,553300,12204,20000,0,1000000,On the fence,"Communications,Electronics"
Verizon Communications,1208200,646098,543705,3390,0,0,Leans Democrat,"Communications,Electronics"
Palantir Technologies,1200892,746720,424122,250,0,0,Leans Democrat,"Communications,Electronics"
Liberty Media Corp,1143760,15600,1116560,0,0,0,Leans Republican,"Communications,Electronics"
Charter Communications,1083173,519587,548523,26816,0,0,Leans Republican,"Communications,Electronics"
Qualcomm Inc,1067073,844927,217467,22920,500,0,Leans Democrat,"Communications,Electronics"
Arista Networks,1041636,395996,613,645000,0,0,Leans Liberal,"Communications,Electronics"
Meta,1034609,720508,144900,161684,0,2800,Leans Democrat,"Communications,Electronics"
Kirkland & Ellis,1896014,917466,766840,12500,50600,146042,Leans Democrat,Lawyers & Lobbyists
Akin Gump et al,1574925,893291,641466,32663,0,0,Leans Democrat,Lawyers & Lobbyists
Brownstein Hyatt et al,1572784,803223,743234,34916,0,0,Leans Democrat,Lawyers & Lobbyists
Paul Weiss et al,1517845,1189727,158546,60050,105000,5000,Leans Democrat,Lawyers & Lobbyists
Invariant LLC,1308229,840228,311201,150000,0,0,Leans Democrat,Lawyers & Lobbyists
BGR Group,1208027,212479,963548,0,30500,0,Leans Republican,Lawyers & Lobbyists
American Assn for Justice,1199897,1176361,20001,0,0,0,Leans Democrat,Lawyers & Lobbyists
Cornerstone Government Affairs,1138801,588487,534514,0,0,0,Leans Democrat,Lawyers & Lobbyists
Capitol Counsel,913593,415703,481990,5000,0,0,Leans Republican,Lawyers & Lobbyists
Sullivan & Cromwell,814008,365916,424725,17740,5000,0,Leans Republican,Lawyers & Lobbyists
Holland & Knight,794543,426623,364730,2460,0,0,Leans Democrat,Lawyers & Lobbyists
Covington & Burling,778135,508721,84914,3750,1000,175000,Leans Democrat,Lawyers & Lobbyists
Quinn Emanuel et al,751604,634275,91434,10600,15000,0,Leans Democrat,Lawyers & Lobbyists
Singleton Schreiber et al,714090,414060,0,332430,0,0,Leans Democrat,Lawyers & Lobbyists
Lieff Cabraser et al,665106,637906,0,36000,0,0,Leans Democrat,Lawyers & Lobbyists
WPP plc,656610,365278,285132,1250,0,0,Leans Democrat,Lawyers & Lobbyists
Cozen O'Connor,652096,420148,231767,0,0,0,Leans Democrat,Lawyers & Lobbyists
K&L Gates,651413,391194,257779,150,0,0,Leans Democrat,Lawyers & Lobbyists
Greenberg Traurig LLP,648432,445427,202108,370,0,0,Leans Democrat,Lawyers & Lobbyists
Latham & Watkins,647832,538289,54045,28697,0,35000,Leans Democrat,Lawyers & Lobbyists
Energy Transfer Partners,1713880,233,1713647,0,0,0,Leans Republican,Natural Gas Pipelines
Energy Transfer Lp,1234809,327,133834,0,1100000,0,Leans Conservative,Natural Gas Pipelines
Enterprise Products Partners,358619,70565,270154,0,5000,0,Leans Republican,Natural Gas Pipelines
Williams Companies,302098,34401,267694,0,0,0,Leans Republican,Natural Gas Pipelines
Excelerate Energy,296200,500,295700,0,0,0,Leans Republican,Natural Gas Pipelines
Freeport Lng Development,278700,5,28695,0,250000,0,Leans Conservative,Natural Gas Pipelines
Cheniere Energy,179996,55530,124208,0,0,0,Leans Republican,Natural Gas Pipelines
American Gas Assn,174078,39115,134936,0,0,0,Leans Republican,Natural Gas Pipelines
Archrock Inc,145700,550,95150,0,50000,0,Leans Republican,Natural Gas Pipelines
GBK Corp,136200,86200,0,50000,0,0,Leans Democrat,Natural Gas Pipelines
Kinder Morgan Inc,104271,13300,87098,149,0,0,Leans Republican,Natural Gas Pipelines
Vega Energy Partners,86819,70,86749,0,0,0,Leans Republican,Natural Gas Pipelines
Transcanada USA Services,76500,18000,58500,0,0,0,Leans Republican,Natural Gas Pipelines
ONEOK Inc,68907,2835,65602,444,0,0,Leans Republican,Natural Gas Pipelines
Equitrans Midstream,58085,15170,42915,0,0,0,Leans Republican,Natural Gas Pipelines
Tellurian Inc,55252,14500,40752,0,0,0,Leans Republican,Natural Gas Pipelines
Pal-Con Ltd,55000,0,5000,0,50000,0,Leans Conservative,Natural Gas Pipelines
National Fuel Gas Co,52563,10063,42500,0,0,0,Leans Republican,Natural Gas Pipelines
Southern Co Gas,50083,18958,31120,0,0,0,Leans Republican,Natural Gas Pipelines
Interstate Natural Gas Assn of America,46000,19500,25500,0,0,0,Leans Republican,Natural Gas Pipelines
National Rural Electric Cooperative Assn,1050940,406900,640040,0,0,0,Leans Republican,Electric Utilities
NextEra Energy,946267,443417,463677,50076,0,510,Leans Republican,Electric Utilities
PG&E Corp,677943,188072,156863,326366,454,0,Leans Liberal,Electric Utilities
Dominion Energy,478403,242634,231740,10000,0,0,Leans Democrat,Electric Utilities
Duke Energy,420650,123842,291902,2200,0,0,Leans Republican,Electric Utilities
Southern Co,412174,137155,270266,25600,0,0,Leans Republican,Electric Utilities
Public Service Enterprise Group,386236,72504,58353,2914,250000,0,Leans Conservative,Electric Utilities
Freepoint Commodities,349044,93976,5068,0,0,250000,On the fence,Electric Utilities
Entergy Corp,328382,114725,209417,740,0,0,Leans Republican,Electric Utilities
Edison Electric Institute,315444,116738,191206,0,0,0,Leans Republican,Electric Utilities
Indeck Energy Services,272102,0,169102,0,103000,0,Leans Republican,Electric Utilities
BWX Technologies,242388,60656,178157,0,75,0,Leans Republican,Electric Utilities
Constellation Energy,239290,92015,146262,0,0,0,Leans Republican,Electric Utilities
DTE Energy,235576,131925,100291,250,180,0,Leans Democrat,Electric Utilities
Exelon Corp,234087,146146,87550,750,0,0,Leans Democrat,Electric Utilities
Nuclear Energy Institute,209776,70229,136047,5000,0,0,Leans Republican,Electric Utilities
Sempra Energy,204860,107455,97161,0,0,0,Leans Democrat,Electric Utilities
Edison International,193689,89337,88944,15150,0,0,Leans Democrat,Electric Utilities
Xcel Energy,188272,90062,94885,0,0,0,Leans Republican,Electric Utilities
Pinnacle West Capital,181372,33060,117646,0,0,0,Leans Republican,Electric Utilities
Newsweb Corp,3343400,1243400,0,2209500,0,0,Leans Liberal,"Books, Magazines & Newspapers"
Relx Group,301110,34297,32281,234300,0,0,Leans Liberal,"Books, Magazines & Newspapers"
Songs Music Publishing,289900,64900,0,225000,0,0,Leans Liberal,"Books, Magazines & Newspapers"
Grosse Pointe News,289100,0,289100,0,0,0,Leans Republican,"Books, Magazines & Newspapers"
Center for the Art of Translation,201616,201616,0,0,0,0,Leans Democrat,"Books, Magazines & Newspapers"
NewsMax Media,199147,20,99127,0,100000,0,Leans Conservative,"Books, Magazines & Newspapers"
Skyhorse Publishing,188216,16,0,0,0,175000,On the fence,"Books, Magazines & Newspapers"
Washington Post,167824,167264,55,250,0,0,Leans Democrat,"Books, Magazines & Newspapers"
Pearson Education,151552,146867,1782,900,0,615,Leans Democrat,"Books, Magazines & Newspapers"
Elana'S Pantry,143000,143000,0,0,0,0,Leans Democrat,"Books, Magazines & Newspapers"
Advance Publications,113622,106354,6181,0,0,0,Leans Democrat,"Books, Magazines & Newspapers"
Bvision Sportsmedia,108000,3500,4500,0,0,100000,On the fence,"Books, Magazines & Newspapers"
News Corp,90196,69439,13608,0,0,250,Leans Democrat,"Books, Magazines & Newspapers"
Cambridge Information Group,85395,85395,0,0,0,0,Leans Democrat,"Books, Magazines & Newspapers"
Blindspot LLC,82500,0,0,0,82500,0,Leans Conservative,"Books, Magazines & Newspapers"
Thomson Reuters,68750,64201,3509,250,265,0,Leans Democrat,"Books, Magazines & Newspapers"
Progressive Publications,54100,0,9100,0,20000,25000,On the fence,"Books, Magazines & Newspapers"
Louisville Magazine,52700,52700,0,0,0,0,Leans Democrat,"Books, Magazines & Newspapers"
Elijahlist Publications,50000,0,0,0,50000,0,Leans Conservative,"Books, Magazines & Newspapers"
Hello!Lucky,49158,49158,0,0,0,0,Leans Democrat,"Books, Magazines & Newspapers"
Gavin De Becker & Assoc,10056600,0,0,0,0,10050000,On the fence,Business Services
Aperture Group,1105582,98982,6600,0,0,1000000,On the fence,Business Services
Waterfront Strategies,600000,0,0,600000,0,0,Leans Liberal,Business Services
Abelson Taylor,548360,476310,0,117050,0,0,Leans Democrat,Business Services
Churchill Business Consultants,500000,0,0,0,500000,0,Leans Conservative,Business Services
Patterson Planning & Services,417001,392001,0,25000,0,0,Leans Democrat,Business Services
Empire Workforce Solutions,370399,0,370399,0,0,0,Leans Republican,Business Services
McKinsey & Co,368186,260648,101672,1200,0,1500,Leans Democrat,Business Services
Miller Strategies,363356,2000,361356,0,0,0,Leans Republican,Business Services
Civic Service Inc,339946,11600,328346,0,0,0,Leans Republican,Business Services
Haberfeld Assoc,314825,314825,0,0,0,0,Leans Democrat,Business Services
Accenture,305847,241810,50034,9696,0,550,Leans Democrat,Business Services
Hamlin & Assoc,274391,25,83400,0,190966,0,Leans Conservative,Business Services
Schieffer Consulting,261700,0,261700,0,0,0,Leans Republican,Business Services
Apex Covantage,229732,129732,0,100000,0,0,Leans Democrat,Business Services
Unity Resources Group,193300,193300,0,0,0,0,Leans Democrat,Business Services
